Date,AG,AI,AR,BE,BL,BS,FR,GE,GL,GR,JU,LU,NE,NW,OW,SG,SH,SO,SZ,TG,TI,UR,VD,VS,ZG,ZH,CH,AG_diff,AG_pc,AG_diff_pc,AI_diff,AI_pc,AI_diff_pc,AR_diff,AR_pc,AR_diff_pc,BE_diff,BE_pc,BE_diff_pc,BL_diff,BL_pc,BL_diff_pc,BS_diff,BS_pc,BS_diff_pc,FR_diff,FR_pc,FR_diff_pc,GE_diff,GE_pc,GE_diff_pc,GL_diff,GL_pc,GL_diff_pc,GR_diff,GR_pc,GR_diff_pc,JU_diff,JU_pc,JU_diff_pc,LU_diff,LU_pc,LU_diff_pc,NE_diff,NE_pc,NE_diff_pc,NW_diff,NW_pc,NW_diff_pc,OW_diff,OW_pc,OW_diff_pc,SG_diff,SG_pc,SG_diff_pc,SH_diff,SH_pc,SH_diff_pc,SO_diff,SO_pc,SO_diff_pc,SZ_diff,SZ_pc,SZ_diff_pc,TG_diff,TG_pc,TG_diff_pc,TI_diff,TI_pc,TI_diff_pc,UR_diff,UR_pc,UR_diff_pc,VD_diff,VD_pc,VD_diff_pc,VS_diff,VS_pc,VS_diff_pc,ZG_diff,ZG_pc,ZG_diff_pc,ZH_diff,ZH_pc,ZH_diff_pc,CH_diff,CH_pc,CH_diff_pc
2020-07-26,1533.0,,,2072.0,951.0,1036.0,1318.0,5753.0,,909.0,254.0,817.0,773.0,128.0,,971.0,,,386.0,452.0,,,5903.0,2081.0,271.0,4369.0,34486.0,2.0,0.002260371833378305,2.9489521635724785e-06,,0.001548467017652524,,,0.0019553173769779482,,13.0,0.002001976855524326,1.2560665599332159e-05,0.0,0.0033005705718212484,0.0,1.0,0.00531920355708902,5.134366367846544e-06,1.0,0.004135369014225921,3.1376092672427318e-06,11.0,0.011616378831658418,2.2211049391316288e-05,,0.003415587951389748,,2.0,0.004582138230357044,1.0081712278013298e-05,0.0,0.0034595949277434995,0.0,0.0,0.001994838325312472,0.0,1.0,0.004343575105077432,5.619113978107932e-06,0.0,0.002961386298961201,0.0,,0.002378372664570175,,1.0,0.0019125580809025856,1.9696787650902013e-06,,0.0012806283616494493,,,0.0018704656764057775,,0.0,0.0024251562843589985,0.0,2.0,0.0016348852686709685,7.234005613588356e-06,,0.009670490146967678,,,0.0031564790162764526,,7.0,0.007386644476284028,8.759361567675453e-06,1.0,0.006050210056548095,2.907357067058191e-06,0.0,0.002136600518776067,0.0,6.0,0.002872512768184472,3.944856170544022e-06,48.0,0.004037506688005845,5.619681059684525e-06
2020-07-27,1537.0,25.0,108.0,2082.0,951.0,1038.0,1319.0,5815.0,138.0,912.0,254.0,819.0,773.0,128.0,90.0,983.0,106.0,519.0,386.0,453.0,3421.0,,5924.0,2083.0,272.0,4389.0,34640.0,4.0,0.0022662697377054497,5.897904327144957e-06,0.0,0.001548467017652524,0.0,0.0,0.0019553173769779482,0.0,10.0,0.0020116389059853506,9.662050461024738e-06,0.0,0.0033005705718212484,0.0,2.0,0.005329472289824713,1.0268732735693088e-05,1.0,0.0041385066234931635,3.1376092672427318e-06,62.0,0.011741568382773111,0.0001251895511146918,0.0,0.003415587951389748,0.0,3.0,0.004597260798774064,1.5122568417019947e-05,0.0,0.0034595949277434995,0.0,2.0,0.0019997216504662354,4.8833251537637006e-06,0.0,0.004343575105077432,0.0,0.0,0.002961386298961201,0.0,0.0,0.002378372664570175,0.0,12.0,0.001936194226083668,2.363614518108242e-05,1.0,0.001292824822236587,1.2196460587137613e-05,8.0,0.0018997488963886468,2.9283219982869317e-05,0.0,0.0024251562843589985,0.0,1.0,0.0016385022714777626,3.617002806794178e-06,4.0,0.009681810591974371,1.1320445006693213e-05,,0.0031564790162764526,,21.0,0.007412922560987055,2.627808470302636e-05,2.0,0.006056024770682212,5.814714134116382e-06,1.0,0.0021444846535316983,7.884134755631242e-06,20.0,0.002885662288752952,1.3149520568480074e-05,154.0,0.004055536498072333,1.802981006648785e-05
2020-07-28,1553.0,,108.0,2092.0,954.0,1039.0,1323.0,5859.0,138.0,913.0,255.0,827.0,775.0,128.0,90.0,988.0,109.0,521.0,390.0,456.0,3424.0,115.0,5952.0,2088.0,273.0,4414.0,34809.0,16.0,0.0022898613550140297,2.3591617308579828e-05,,0.001548467017652524,,0.0,0.0019553173769779482,0.0,10.0,0.002021300956446375,9.662050461024738e-06,3.0,0.0033109824663695806,1.0411894548332014e-05,1.0,0.005334606656192559,5.134366367846544e-06,4.0,0.004151057060562134,1.2550437068970927e-05,44.0,0.011830412580338375,8.884419756526515e-05,0.0,0.003415587951389748,0.0,1.0,0.0046023016549130704,5.040856139006649e-06,1.0,0.0034732153802149307,1.3620452471431101e-05,8.0,0.0020192549510812904,1.9533300615054802e-05,2.0,0.0043548133330336474,1.1238227956215864e-05,0.0,0.002961386298961201,0.0,0.0,0.002378372664570175,0.0,5.0,0.001946042619909119,9.848393825451006e-06,3.0,0.0013294142039979998,3.658938176141284e-05,2.0,0.0019070697013843642,7.320804995717329e-06,4.0,0.0024502874375647915,2.5131153205792732e-05,3.0,0.0016493532798981451,1.0851008420382535e-05,3.0,0.00969030092572939,8.49033375501991e-06,0.0,0.0031564790162764526,0.0,28.0,0.007447960007257757,3.503744627070181e-05,5.0,0.006070561556017502,1.4536785335290953e-05,1.0,0.0021523687882873295,7.884134755631242e-06,25.0,0.002902099189463552,1.6436900710600092e-05,169.0,0.004075322458469971,1.9785960397639265e-05
2020-07-29,1564.0,25.0,108.0,2094.0,955.0,1043.0,1330.0,5921.0,138.0,917.0,255.0,834.0,778.0,128.0,91.0,997.0,115.0,522.0,394.0,459.0,3428.0,116.0,5992.0,2097.0,279.0,4459.0,35039.0,11.0,0.002306080591913678,1.6219236899648632e-05,0.0,0.001548467017652524,0.0,0.0,0.0019553173769779482,0.0,2.0,0.00202323336653858,1.9324100922049473e-06,1.0,0.0033144530978856915,3.4706315161106715e-06,4.0,0.0053551441216639455,2.0537465471386177e-05,7.0,0.004173020325432833,2.196326487069912e-05,62.0,0.011955602131453066,0.0001251895511146918,0.0,0.003415587951389748,0.0,4.0,0.004622465079469097,2.0163424556026596e-05,0.0,0.0034732153802149307,0.0,7.0,0.0020363465891194634,1.7091638038172954e-05,3.0,0.004371670674967971,1.6857341934323796e-05,0.0,0.002961386298961201,0.0,1.0,0.002404799027509844,2.6426362939668615e-05,9.0,0.001963769728794931,1.7727108885811813e-05,6.0,0.0014025929675208254,7.317876352282568e-05,1.0,0.001910730103882223,3.6604024978586646e-06,4.0,0.002475418590770584,2.5131153205792732e-05,3.0,0.0016602042883185277,1.0851008420382535e-05,4.0,0.009701621370736083,1.1320445006693213e-05,1.0,0.003183926659896248,2.744764361979524e-05,40.0,0.007498013501930188,5.005349467243116e-05,9.0,0.006096727769621026,2.6166213603523717e-05,6.0,0.002199673596821117,4.730480853378746e-05,45.0,0.0029316856107426325,2.9586421279080164e-05,230.0,0.00410225009688096,2.6927638410988348e-05
2020-07-30,1587.0,25.0,108.0,2098.0,956.0,1052.0,1340.0,5975.0,139.0,922.0,255.0,845.0,782.0,129.0,92.0,999.0,116.0,524.0,401.0,463.0,3431.0,116.0,6014.0,2105.0,284.0,4489.0,35247.0,23.0,0.0023399935417947617,3.39129498810835e-05,0.0,0.001548467017652524,0.0,0.0,0.0019553173769779482,0.0,4.0,0.00202709818672299,3.864820184409895e-06,1.0,0.003317923729401802,3.4706315161106715e-06,9.0,0.0054013534189745645,4.62092973106189e-05,10.0,0.0042043964181052605,3.1376092672427314e-05,54.0,0.012064638192101348,0.00010903606064827995,1.0,0.0034403385887186596,2.475063732891122e-05,5.0,0.00464766936016413,2.5204280695033245e-05,0.0,0.0034732153802149307,0.0,11.0,0.0020632048774651634,2.6858288345700353e-05,4.0,0.004394147130880403,2.247645591243173e-05,1.0,0.0029845221294218355,2.3135830460634384e-05,1.0,0.0024312253904495125,2.6426362939668615e-05,2.0,0.0019677090863251113,3.939357530180403e-06,1.0,0.001414789428107963,1.2196460587137613e-05,2.0,0.0019180509088779403,7.320804995717329e-06,7.0,0.0025193981088807212,4.397951811013728e-05,4.0,0.0016746722995457045,1.4468011227176713e-05,3.0,0.009710111704491103,8.49033375501991e-06,0.0,0.003183926659896248,0.0,22.0,0.0075255429240000254,2.752942206983714e-05,8.0,0.006119986626157491,2.3258856536465527e-05,5.0,0.002239094270599273,3.942067377815622e-05,30.0,0.0029514098915953526,1.9724280852720108e-05,208.0,0.004126602048139593,2.435195125863294e-05
2020-07-31,1597.0,25.0,109.0,2111.0,961.0,1054.0,1348.0,6007.0,141.0,923.0,255.0,852.0,783.0,129.0,92.0,1003.0,117.0,526.0,403.0,465.0,3435.0,116.0,6033.0,2107.0,288.0,4520.0,35400.0,10.0,0.002354738302612624,1.4744760817862393e-05,0.0,0.001548467017652524,0.0,1.0,0.001973422167505522,1.8104790527573596e-05,13.0,0.0020396588523223223,1.2560665599332159e-05,5.0,0.0033352768869823555,1.7353157580553357e-05,2.0,0.005411622151710258,1.0268732735693088e-05,8.0,0.004229497292243202,2.5100874137941854e-05,32.0,0.012129252153966994,6.461396186564738e-05,2.0,0.003489839863376482,4.950127465782244e-05,1.0,0.004652710216303137,5.040856139006649e-06,0.0,0.0034732153802149307,0.0,7.0,0.0020802965155033363,1.7091638038172954e-05,1.0,0.0043997662448585105,5.619113978107932e-06,0.0,0.0029845221294218355,0.0,0.0,0.0024312253904495125,0.0,4.0,0.001975587801385472,7.878715060360805e-06,1.0,0.0014269858886951008,1.2196460587137613e-05,2.0,0.0019253717138736576,7.320804995717329e-06,2.0,0.0025319636854836177,1.2565576602896366e-05,2.0,0.0016819063051592927,7.234005613588356e-06,4.0,0.009721432149497796,1.1320445006693213e-05,0.0,0.003183926659896248,0.0,19.0,0.0075493183339694295,2.37754099694048e-05,2.0,0.0061258013402916076,5.814714134116382e-06,4.0,0.002270630809621798,3.153653902252497e-05,31.0,0.0029717916484764966,2.0381756881144114e-05,153.0,0.004144514781517337,1.7912733377744425e-05
2020-08-01,1613.0,,,2125.0,963.0,1064.0,1351.0,6037.0,,930.0,255.0,854.0,786.0,129.0,,1003.0,,,405.0,466.0,,,6060.0,2110.0,288.0,4543.0,35543.0,16.0,0.002378329919921204,2.3591617308579828e-05,,0.001548467017652524,,,0.001973422167505522,,14.0,0.0020531857229677567,1.3526870645434632e-05,2.0,0.003342218150014577,6.941263032221343e-06,10.0,0.005462965815388723,5.134366367846544e-05,3.0,0.004238910120044931,9.412827801728195e-06,30.0,0.01218982774321604,6.057558924904442e-05,,0.003489839863376482,,7.0,0.004687996209276184,3.528599297304654e-05,0.0,0.0034732153802149307,0.0,2.0,0.0020851798406571003,4.8833251537637006e-06,3.0,0.0044166235867928345,1.6857341934323796e-05,0.0,0.0029845221294218355,0.0,,0.0024312253904495125,,0.0,0.001975587801385472,0.0,,0.0014269858886951008,,,0.0019253717138736576,,2.0,0.002544529262086514,1.2565576602896366e-05,1.0,0.001685523307966087,3.617002806794178e-06,,0.009721432149497796,,,0.003183926659896248,,27.0,0.007583104442873321,3.378610890389104e-05,3.0,0.006134523411492783,8.722071201174572e-06,0.0,0.002270630809621798,0.0,23.0,0.002986913597130249,1.5121948653752085e-05,143.0,0.0041612567480076475,1.6741966490310148e-05
2020-08-02,1615.0,,,2143.0,964.0,1068.0,1356.0,6059.0,,932.0,255.0,858.0,786.0,129.0,,1005.0,,,405.0,468.0,,,6073.0,2111.0,288.0,4554.0,35630.0,2.0,0.0023812788720847765,2.9489521635724785e-06,,0.001548467017652524,,,0.001973422167505522,,18.0,0.0020705774137976013,1.739169082984453e-05,1.0,0.0033456887815306873,3.4706315161106715e-06,4.0,0.005483503280860109,2.0537465471386177e-05,5.0,0.004254598166381144,1.5688046336213657e-05,22.0,0.012234249841998671,4.4422098782632576e-05,,0.003489839863376482,,2.0,0.004698077921554197,1.0081712278013298e-05,0.0,0.0034732153802149307,0.0,4.0,0.0020949464909646278,9.766650307527401e-06,0.0,0.0044166235867928345,0.0,0.0,0.0029845221294218355,0.0,,0.0024312253904495125,,2.0,0.0019795271589156524,3.939357530180403e-06,,0.0014269858886951008,,,0.0019253717138736576,,0.0,0.002544529262086514,0.0,2.0,0.0016927573135796753,7.234005613588356e-06,,0.009721432149497796,,,0.003183926659896248,,13.0,0.007599371828641861,1.6267385768540127e-05,1.0,0.006137430768559841,2.907357067058191e-06,0.0,0.002270630809621798,0.0,11.0,0.0029941458334429125,7.23223631266404e-06,87.0,0.004171442419928326,1.0185671920678202e-05
2020-08-03,1620.0,25.0,110.0,2148.0,966.0,1069.0,1358.0,6094.0,141.0,932.0,255.0,864.0,787.0,129.0,92.0,1011.0,121.0,535.0,405.0,469.0,3442.0,117.0,6092.0,2114.0,293.0,4566.0,35755.0,5.0,0.0023886512524937077,7.372380408931197e-06,0.0,0.001548467017652524,0.0,1.0,0.0019915269580330955,1.8104790527573596e-05,5.0,0.0020754084390281137,4.831025230512369e-06,2.0,0.0033526300445629086,6.941263032221343e-06,1.0,0.0054886376472279555,5.134366367846544e-06,2.0,0.00426087338491563,6.2752185344854636e-06,35.0,0.012304921362789224,7.067152079055183e-05,0.0,0.003489839863376482,0.0,0.0,0.004698077921554197,0.0,0.0,0.0034732153802149307,0.0,6.0,0.0021095964664259188,1.4649975461291103e-05,1.0,0.004422242700770943,5.619113978107932e-06,0.0,0.0029845221294218355,0.0,0.0,0.0024312253904495125,0.0,6.0,0.001991345231506194,1.181807259054121e-05,4.0,0.001475771731043651,4.878584234855045e-05,9.0,0.0019583153363543857,3.294362248072798e-05,0.0,0.002544529262086514,0.0,1.0,0.0016963743163864696,3.617002806794178e-06,7.0,0.00974124292825951,1.9810778761713124e-05,1.0,0.003211374303516043,2.744764361979524e-05,19.0,0.0076231472386112656,2.37754099694048e-05,3.0,0.006146152839761015,8.722071201174572e-06,5.0,0.002310051483399954,3.942067377815622e-05,12.0,0.0030020355457840006,7.889712341088045e-06,125.0,0.0041860770060212545,1.4634586092928451e-05
2020-08-04,1635.0,,110.0,2151.0,973.0,1073.0,1358.0,6126.0,142.0,934.0,255.0,870.0,789.0,129.0,94.0,1025.0,124.0,536.0,408.0,470.0,3442.0,117.0,6106.0,2122.0,296.0,4584.0,35894.0,15.0,0.0024107683937205013,2.211714122679359e-05,,0.001548467017652524,,0.0,0.0019915269580330955,0.0,3.0,0.002078307054166421,2.8986151383074214e-06,7.0,0.0033769244651756835,2.42944206127747e-05,4.0,0.005509175112699342,2.0537465471386177e-05,0.0,0.00426087338491563,0.0,32.0,0.01236953532465487,6.461396186564738e-05,1.0,0.003514590500705393,2.475063732891122e-05,2.0,0.00470815963383221,1.0081712278013298e-05,0.0,0.0034732153802149307,0.0,6.0,0.0021242464418872098,1.4649975461291103e-05,2.0,0.004433480928727159,1.1238227956215864e-05,0.0,0.0029845221294218355,0.0,2.0,0.0024840781163288496,5.285272587933723e-05,14.0,0.0020189207342174564,2.757550271126282e-05,3.0,0.001512361112805064,3.658938176141284e-05,1.0,0.001961975738852244,3.6604024978586646e-06,3.0,0.0025633776269908585,1.8848364904344547e-05,1.0,0.0016999913191932637,3.617002806794178e-06,0.0,0.00974124292825951,0.0,0.0,0.003211374303516043,0.0,14.0,0.007640665961746617,1.7518723135350907e-05,8.0,0.006169411696297481,2.3258856536465527e-05,3.0,0.002333703887666848,2.365240426689373e-05,18.0,0.003013870114295633,1.1834568511632065e-05,139.0,0.00420235066575659,1.6273659735336438e-05
2020-08-05,1651.0,25.0,110.0,2165.0,978.0,1079.0,1366.0,6157.0,144.0,936.0,255.0,884.0,790.0,130.0,94.0,1035.0,131.0,544.0,411.0,473.0,3445.0,117.0,6125.0,2126.0,296.0,4635.0,36102.0,16.0,0.0024343600110290813,2.3591617308579828e-05,0.0,0.001548467017652524,0.0,0.0,0.0019915269580330955,0.0,14.0,0.0020918339248118555,1.3526870645434632e-05,5.0,0.0033942776227562366,1.7353157580553357e-05,6.0,0.005539981310906421,3.0806198207079265e-05,8.0,0.004285974259053572,2.5100874137941854e-05,31.0,0.012432130100212217,6.25947755573459e-05,2.0,0.0035640917753632156,4.950127465782244e-05,2.0,0.004718241346110224,1.0081712278013298e-05,0.0,0.0034732153802149307,0.0,14.0,0.0021584297179635557,3.418327607634591e-05,1.0,0.004439100042705266,5.619113978107932e-06,1.0,0.00300765795988247,2.3135830460634384e-05,0.0,0.0024840781163288496,0.0,10.0,0.0020386175218683584,1.9696787650902013e-05,7.0,0.0015977363369150273,8.537522410996328e-05,8.0,0.0019912589588351134,2.9283219982869317e-05,3.0,0.002582225991895203,1.8848364904344547e-05,3.0,0.0017108423276136462,1.0851008420382535e-05,3.0,0.00974973326201453,8.49033375501991e-06,0.0,0.003211374303516043,0.0,19.0,0.007664441371716022,2.37754099694048e-05,4.0,0.006181041124565714,1.1629428268232763e-05,0.0,0.002333703887666848,0.0,51.0,0.003047401391745257,3.353127744962419e-05,208.0,0.004226702617015223,2.435195125863294e-05
2020-08-06,1669.0,,110.0,2177.0,980.0,1081.0,1371.0,6192.0,145.0,937.0,255.0,890.0,791.0,130.0,94.0,1044.0,132.0,545.0,416.0,476.0,3446.0,117.0,6143.0,2132.0,296.0,4670.0,36264.0,18.0,0.0024609005805012333,2.654056947215231e-05,,0.001548467017652524,,0.0,0.0019915269580330955,0.0,12.0,0.0021034283853650854,1.1594460553229686e-05,2.0,0.003401218885788458,6.941263032221343e-06,2.0,0.005550250043642114,1.0268732735693088e-05,5.0,0.004301662305389785,1.5688046336213657e-05,35.0,0.012502801621002767,7.067152079055183e-05,1.0,0.0035888424126921266,2.475063732891122e-05,1.0,0.00472328220224923,5.040856139006649e-06,0.0,0.0034732153802149307,0.0,6.0,0.0021730796934248467,1.4649975461291103e-05,1.0,0.004444719156683374,5.619113978107932e-06,0.0,0.00300765795988247,0.0,0.0,0.0024840781163288496,0.0,9.0,0.00205634463075417,1.7727108885811813e-05,1.0,0.001609932797502165,1.2196460587137613e-05,1.0,0.001994919361332972,3.6604024978586646e-06,5.0,0.002613639933402444,3.1413941507240916e-05,3.0,0.0017216933360340288,1.0851008420382535e-05,1.0,0.009752563373266203,2.830111251673303e-06,0.0,0.003211374303516043,0.0,18.0,0.007686965444318615,2.252407260259402e-05,6.0,0.006198485266968062,1.7444142402349143e-05,0.0,0.002333703887666848,0.0,35.0,0.003070413052740097,2.3011660994840128e-05,162.0,0.004245669040591659,1.8966423576435273e-05
